,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
1241,25844.545793192006,27717.818332600855,30780.141616041714,24852.872734025084,27298.84461896492
1251,25844.545793192006,27717.818332600855,30731.36840397757,24735.13539664752,27257.21698160449
1261,25753.560090718547,27717.818332600855,30731.36840397757,24735.13539664752,27234.470555986125
1271,25753.560090718547,27705.82037314682,30731.36840397757,24605.607671160662,27199.0891347509
1281,25753.560090718547,27705.82037314682,30731.36840397757,24605.607671160662,27199.0891347509
1291,25753.560090718547,27701.63773398673,30609.379168718773,24476.881411532253,27135.364601239075
1301,25753.560090718547,27701.63773398673,30548.68640036933,24476.881411532253,27120.191409151717
1311,25700.370070289595,27680.232467486272,30548.68640036933,24440.037642182113,27092.331645081827
1321,25700.370070289595,27680.232467486272,30548.68640036933,24384.768942641967,27078.51447019679
1331,25511.00631319686,27589.22379016304,30548.68640036933,24384.768942641967,27008.4213615928
